,file_name,count,Point,Percent,TFIDF
4632,Commitment_letter_-UNGC.pdf,1817,0,0.06%,0.0
4633,삼덕통상%28주%29_UNGC_COP_2017.11.pdf,681,0,0.0%,0.0
4634,CCO_COP_2021progress010721.pdf,35379,3,0.45%,1.3416407864998738
4635,UNGC_RED.pdf,531,0,0.0%,0.0
4636,Global_Compact_Intercruises_2015.pdf,22531,1,0.5%,1.0
4637,UNGC_COP-report_NeosysLtd2015.pdf,39318,1,0.51%,1.0
4638,Sustainability Report 2020_Norinchukin Bank.pdf,156161,77,0.78%,1.6672291596515194
4639,ELSYS-Design_CoP-2014_v1.pdf,6622,0,0.0%,0.0
4640,DeutscheBahn_2012_Communication_on_Progress.pdf,1895,0,0.0%,0.0
4641,Gefco_RSE2017_EN_003.pdf,144770,13,0.48%,1.8962448894726287
4642,WS_Insight_Ltd_-_Communication_on_Progress.pdf,13390,1,0.33%,1.0
4643,2018_COP_BB_ELECTRONICS_AS.pdf,17532,0,0.62%,0.0
4644,cop_2012.pdf,8165,0,0.18%,0.0
4645,200515-Communication_on_Progress-QVARTZ.pdf,3606,0,0.28%,0.0
4646,20130404_CoP.pdf,15983,0,0.3%,0.0
4647,2013ar.pdf,131465,19,0.78%,2.432700718725024
4648,BSC_UNGC_COP_2014.pdf,23963,0,0.12%,0.0
4649,Tieto_CR_report_2010.pdf,115243,10,0.47%,1.3130643285972254
4650,000040.pdf,28373,0,0.49%,0.0
4651,ARCADIS_Communication_on_Progress_2015.pdf,4504,0,0.16%,0.0
4652,COP_Global_Compact_2013.pdf,3166,0,0.43%,0.0
4653,140807_UNGC_Communication_on_Progress_Final.pdf,27967,3,0.36%,1.7320508075688776
4654,cop_2017_solidny_partner.pdf,9208,0,0.32%,0.0
4655,Optima_Sustainability_Report_UNGC_COP_2015.pdf,18931,1,0.3%,1.0
4656,CSR REPORT 2013.pdf,71628,4,0.69%,2.0
4657,13년_CSR_Report_ENG.pdf,89641,11,1.55%,2.116950987028628
4658,KEPCO Sustainability Report 2013.pdf,118444,0,0.0%,0.0
4659,GMHelicopters_Communication-on-Progress_December-2013.pdf,30598,6,0.53%,1.7320508075688774
4660,Fingrid_Annual-report-2018.pdf,111482,0,0.0%,0.0
4661,KPN_CSR_2012_ENG_GRI.pdf,54234,9,0.4%,1.671258043593467
4662,105.00.039_Global_Progress_Report_2013_3.pdf,11015,1,0.9%,1.0
4663,LATAM_SustainabilityReport2017.pdf,185814,40,0.52%,1.9802950859533488
4664,ungc_cop_alcor_2012.pdf,13352,1,0.34%,1.0
4665,170313_KGL_UNGC_COP_2017.pdf,538,0,0.0%,0.0
4666,2579MAR_CoP Report UN_20210226_FINAL.pdf,55274,16,1.17%,1.835325870964494
4667,CR_Report_2014_final.pdf,64376,12,0.65%,1.4552137502179978
4668,2020_Global_Citizenship_Sustainability_Report.pdf,95999,10,0.54%,2.1320071635561044
4669,HW.Code_Of_Conduct-NOV2013-L17_2_.pdf,52499,3,0.46%,1.0
4670,GC_Advanced_COP_selfassessment - Ideon Science Park.pdf,43016,5,0.34%,1.386750490563073
4671,Futerra_Global_Compact_Annual_Communication_Dec_2016.pdf,22122,1,0.47%,1.0
4672,PremierOil_Social_Performance_Report_2011.pdf,121199,50,0.88%,2.956561979945413
